"scenario","year","variable","value","units"
"ssp119",2086,"Tgav",1.45323216301921,"degC"
"ssp119",2087,"Tgav",1.44355101855414,"degC"
"ssp119",2088,"Tgav",1.4338057657211,"degC"
"ssp119",2089,"Tgav",1.42399475430893,"degC"
"ssp119",2090,"Tgav",1.41411582538353,"degC"
"ssp119",2091,"Tgav",1.40423160440195,"degC"
"ssp119",2092,"Tgav",1.39433112449567,"degC"
"ssp119",2093,"Tgav",1.38439667048274,"degC"
"ssp119",2094,"Tgav",1.37441625444615,"degC"
"ssp119",2095,"Tgav",1.3643809356115,"degC"
"ssp119",2096,"Tgav",1.35428339512901,"degC"
"ssp119",2097,"Tgav",1.34411724850673,"degC"
"ssp119",2098,"Tgav",1.33387671965488,"degC"
"ssp119",2099,"Tgav",1.32355653308748,"degC"
"ssp119",2100,"Tgav",1.31315194537243,"degC"
"ssp119",2101,"Tgav",1.30237273625879,"degC"
"ssp119",2102,"Tgav",1.29130925932132,"degC"
"ssp119",2103,"Tgav",1.28009759836627,"degC"
"ssp119",2104,"Tgav",1.26882575190725,"degC"
"ssp119",2105,"Tgav",1.257551554742,"degC"
"ssp119",2106,"Tgav",1.2463155730303,"degC"
"ssp119",2107,"Tgav",1.23514720001278,"degC"
"ssp119",2108,"Tgav",1.22406776618121,"degC"
"ssp119",2109,"Tgav",1.21309276769719,"degC"
"ssp119",2110,"Tgav",1.20223359672835,"degC"
"ssp119",2111,"Tgav",1.1914985894759,"degC"
"ssp119",2112,"Tgav",1.18089363621205,"degC"
"ssp119",2113,"Tgav",1.17042275140514,"degC"
"ssp119",2114,"Tgav",1.16008861290991,"degC"
"ssp119",2115,"Tgav",1.14989288405702,"degC"
"ssp119",2116,"Tgav",1.13983654664778,"degC"
"ssp119",2117,"Tgav",1.12992005775311,"degC"
"ssp119",2118,"Tgav",1.12014324628787,"degC"
"ssp119",2119,"Tgav",1.11050537235174,"degC"
"ssp119",2120,"Tgav",1.1010052704279,"degC"
"ssp119",2121,"Tgav",1.09164143857448,"degC"
"ssp119",2122,"Tgav",1.08241211445711,"degC"
"ssp119",2123,"Tgav",1.07331533331485,"degC"
"ssp119",2124,"Tgav",1.064349075841,"degC"
"ssp119",2125,"Tgav",1.05551124371589,"degC"
"ssp119",2126,"Tgav",1.04679958947871,"degC"
"ssp119",2127,"Tgav",1.03821177733407,"degC"
"ssp119",2128,"Tgav",1.02974544330237,"degC"
"ssp119",2129,"Tgav",1.02139820722014,"degC"
"ssp119",2130,"Tgav",1.0131676705563,"degC"
"ssp119",2131,"Tgav",1.00505143604951,"degC"
"ssp119",2132,"Tgav",0.997047155399333,"degC"
"ssp119",2133,"Tgav",0.989152571280107,"degC"
"ssp119",2134,"Tgav",0.981365442449999,"degC"
"ssp119",2135,"Tgav",0.973683475632125,"degC"
"ssp119",2136,"Tgav",0.966104353629629,"degC"
"ssp119",2137,"Tgav",0.958625773579537,"degC"
"ssp119",2138,"Tgav",0.951245454527287,"degC"
"ssp119",2139,"Tgav",0.943961155494916,"degC"
"ssp119",2140,"Tgav",0.936770685206813,"degC"
"ssp119",2141,"Tgav",0.929671917355718,"degC"
"ssp119",2142,"Tgav",0.922683188027783,"degC"
"ssp119",2143,"Tgav",0.915838045259028,"degC"
"ssp119",2144,"Tgav",0.909160174933522,"degC"
"ssp119",2145,"Tgav",0.902665253344969,"degC"
"ssp119",2146,"Tgav",0.89636434462949,"degC"
"ssp119",2147,"Tgav",0.890265298349244,"degC"
"ssp119",2148,"Tgav",0.884373552207895,"degC"
"ssp119",2149,"Tgav",0.878692819544038,"degC"
"ssp119",2150,"Tgav",0.873225623795451,"degC"
"ssp119",2151,"Tgav",0.867973603742735,"degC"
"ssp119",2152,"Tgav",0.862929088520767,"degC"
"ssp119",2153,"Tgav",0.858077556398479,"degC"
"ssp119",2154,"Tgav",0.853408404050596,"degC"
"ssp119",2155,"Tgav",0.848914206654054,"degC"
"ssp119",2156,"Tgav",0.844589277055366,"degC"
"ssp119",2157,"Tgav",0.840429063371015,"degC"
"ssp119",2158,"Tgav",0.836429817700871,"degC"
"ssp119",2159,"Tgav",0.832588350572525,"degC"
"ssp119",2160,"Tgav",0.82890185005206,"degC"
"ssp119",2161,"Tgav",0.825367779104178,"degC"
"ssp119",2162,"Tgav",0.821983820033857,"degC"
"ssp119",2163,"Tgav",0.818747853293598,"degC"
"ssp119",2164,"Tgav",0.815657968868212,"degC"
"ssp119",2165,"Tgav",0.812712529587535,"degC"
"ssp119",2166,"Tgav",0.80991012309198,"degC"
"ssp119",2167,"Tgav",0.80724984219906,"degC"
"ssp119",2168,"Tgav",0.804731338214352,"degC"
"ssp119",2169,"Tgav",0.802354239942084,"degC"
"ssp119",2170,"Tgav",0.800117738871459,"degC"
"ssp119",2171,"Tgav",0.798020637835112,"degC"
"ssp119",2172,"Tgav",0.796061719413648,"degC"
"ssp119",2173,"Tgav",0.794239853237192,"degC"
"ssp119",2174,"Tgav",0.792553773242255,"degC"
"ssp119",2175,"Tgav",0.791001971180447,"degC"
"ssp119",2176,"Tgav",0.789582809863861,"degC"
"ssp119",2177,"Tgav",0.788294669872349,"degC"
"ssp119",2178,"Tgav",0.787136072942908,"degC"
"ssp119",2179,"Tgav",0.786105694797883,"degC"
"ssp119",2180,"Tgav",0.785202219989575,"degC"
"ssp119",2181,"Tgav",0.784424206845525,"degC"
"ssp119",2182,"Tgav",0.783770161698662,"degC"
"ssp119",2183,"Tgav",0.783238610777181,"degC"
"ssp119",2184,"Tgav",0.782828075417795,"degC"
"ssp119",2185,"Tgav",0.782537126322073,"degC"
"ssp119",2186,"Tgav",0.782364891910404,"degC"
"ssp119",2187,"Tgav",0.782311030221828,"degC"
"ssp119",2188,"Tgav",0.7823749813978,"degC"
"ssp119",2189,"Tgav",0.782555727508375,"degC"
"ssp119",2190,"Tgav",0.782851968046635,"degC"
"ssp119",2191,"Tgav",0.783262285910358,"degC"
"ssp119",2192,"Tgav",0.783764784831537,"degC"
"ssp119",2193,"Tgav",0.784322591357091,"degC"
"ssp119",2194,"Tgav",0.784909005784348,"degC"
"ssp119",2195,"Tgav",0.785506279254075,"degC"
"ssp119",2196,"Tgav",0.786102282051275,"degC"
"ssp119",2197,"Tgav",0.786687989327639,"degC"
"ssp119",2198,"Tgav",0.787256116596379,"degC"
"ssp119",2199,"Tgav",0.787800516688003,"degC"
"ssp119",2200,"Tgav",0.788316207900507,"degC"
"ssp126",1850,"Tgav",0.11714020702554,"degC"
"ssp126",1851,"Tgav",0.122124591991989,"degC"
"ssp126",1852,"Tgav",0.128571608166981,"degC"
"ssp126",1853,"Tgav",0.135822647639025,"degC"
"ssp126",1854,"Tgav",0.142684329246122,"degC"
"ssp126",1855,"Tgav",0.137851332844833,"degC"
"ssp126",1856,"Tgav",0.0943666666554113,"degC"
"ssp126",1857,"Tgav",0.0377118072679191,"degC"
"ssp126",1858,"Tgav",0.02237900608797,"degC"
"ssp126",1859,"Tgav",0.0423519732660814,"degC"
"ssp126",1860,"Tgav",0.0689569846447355,"degC"
"ssp126",1861,"Tgav",0.087541782287272,"degC"
"ssp126",1862,"Tgav",0.0933487345894605,"degC"
"ssp126",1863,"Tgav",0.0983746276212696,"degC"
"ssp126",1864,"Tgav",0.110313073392515,"degC"
"ssp126",1865,"Tgav",0.124250005402407,"degC"
"ssp126",1866,"Tgav",0.137358996486239,"degC"
"ssp126",1867,"Tgav",0.148512745642835,"degC"
"ssp126",1868,"Tgav",0.157691887239198,"degC"
"ssp126",1869,"Tgav",0.164665220945669,"degC"
"ssp126",1870,"Tgav",0.170282744087937,"degC"
"ssp126",1871,"Tgav",0.175573356390908,"degC"
